Date,Price,Open,High,Low,Vol.,Change %
05/25/2021,23.05,23.05,23.05,23,28.19M,0.00%
05/24/2021,23.05,23,23.05,23,7.21M,0.22%
05/21/2021,23,23,23,23,3.21M,0.00%
05/20/2021,23,23,23.05,22.95,27.57M,0.00%
05/19/2021,23,23.5,23.3,23,9.64M,-2.13%
05/18/2021,23.5,23.7,23.6,23.35,18.55M,-0.84%
05/17/2021,23.7,23.7,23.7,23.5,52.68M,0.00%
05/14/2021,23.7,23.25,23.8,23.25,32.03M,1.94%
05/11/2021,23.25,23,23.4,23,26.42M,1.09%
05/10/2021,23,22.2,24,22.25,44.00M,3.60%
05/07/2021,22.2,21.95,22.2,21.9,25.51M,1.14%
05/06/2021,21.95,21.3,22,21.6,29.43M,3.05%
05/05/2021,21.3,22,22,21.3,25.03M,-3.18%
05/04/2021,22,22.25,22.6,22,58.00M,-1.12%
04/30/2021,22.25,22.15,22.25,22.05,15.61M,0.45%
04/29/2021,22.15,22.1,22.15,22.05,9.83M,0.23%
04/28/2021,22.1,22.1,22.45,22,16.58M,0.00%
04/27/2021,22.1,22.2,22.25,22.1,14.78M,-0.45%
04/26/2021,22.2,22.3,22.3,22.05,14.25M,-0.45%
04/23/2021,22.3,22,22.3,22.15,5.03M,1.36%
04/22/2021,22,22.3,22.3,22,28.75M,-1.35%
04/21/2021,22.3,22.25,22.5,22,12.47M,0.22%
04/20/2021,22.25,21.65,22.35,21.7,26.18M,2.77%
04/19/2021,21.65,21.5,21.7,21.5,18.17M,0.70%
04/16/2021,21.5,21.8,21.85,21.5,6.14M,-1.38%
04/15/2021,21.8,22,21.9,21.55,5.72M,-0.91%
04/14/2021,22,21.9,22.05,21.9,19.62M,0.46%
04/13/2021,21.9,22,22.1,21.05,10.94M,-0.45%
04/12/2021,22,21.95,22.15,22,4.54M,0.23%
04/09/2021,21.95,21.8,22,21.8,7.33M,0.69%
04/08/2021,21.8,21,21.9,21.2,17.58M,3.81%
04/07/2021,21,21.9,21.9,20.65,55.03M,-4.11%
04/06/2021,21.9,22.1,22.05,21.85,16.59M,-0.90%
04/01/2021,22.1,22.55,22.55,22.05,6.72M,-2.00%
03/31/2021,22.55,22.6,22.65,22.5,22.14M,-0.22%
03/30/2021,22.6,22.05,22.95,22.1,24.91M,2.49%
03/29/2021,22.05,22,22.15,21.95,12.69M,0.23%
